ID,Name
abcat0503012,Network Switches
abcat0503013,Modems
abcat0504001,"Hard Drives, SSD & Storage"
abcat0504004,Network Attached Storage (NAS)
abcat0504005,Optical Drives
abcat0504010,USB Flash Drives
abcat0506000,Memory (RAM)
abcat0506001,Desktop Memory
abcat0506002,Laptop Memory
abcat0507000,Computer Cards & Components
abcat0507002,GPUs / Video Graphics Cards
abcat0507003,Sound Cards
abcat0507006,Computer Cases
abcat0507007,"Fans, Heatsinks & Cooling"
abcat0507008,Motherboards
abcat0507009,Power Supplies
abcat0507010,CPUs / Processors
abcat0508000,Software
abcat0508001,Operating Systems
abcat0508003,Business & Office Software
abcat0508009,Office Software Suites
abcat0508013,Tax & Accounting Software
abcat0508014,Personal Finance Software
abcat0508015,Accounting & Bookkeeping Software
abcat0508016,Tax Preparation Software
abcat0508018,Design & Photography Software
abcat0508025,Photo Editing Software
abcat0508026,Video Editing Software
abcat0508028,Hobby & Leisure Software
abcat0508042,Antivirus & Security Software
abcat0508045,Internet Security Software
abcat0509000,Monitors
abcat0511001,"Printers, Ink & Toner"
abcat0511002,Inkjet Printers
abcat0511003,Laser Printers
abcat0511004,All-In-One Inkjet Printers
abcat0511005,All-In-One Laser Printers
abcat0511006,Photo Printers
abcat0511007,"Scanners, Faxes & Copiers"
abcat0511008,Flatbed Scanners
abcat0511010,Sheetfed Scanners
abcat0511011,Fax Machines & Copiers
abcat0513000,Mice & Keyboards
abcat0513001,Wireless & Bluetooth Mice
abcat0513002,Wired & USB Mice
abcat0513004,Computer Keyboards
abcat0513005,Keyboard & Mouse Combos
abcat0513006,Drawing Tablets
abcat0514000,Internet Services
abcat0515000,Computer Accessories & Peripherals
abcat0515008,Computer Cleaning & Repair
abcat0515012,Cables & Connectors
abcat0515013,USB Cables & Adapters
abcat0515016,Ethernet Cables
abcat0515020,PC Gaming Controllers
abcat0515023,Joysticks
abcat0515024,Racing Wheels
abcat0515025,Laptop Accessories
abcat0515028,Laptop Bags & Cases
abcat0515031,Monitor Mounts & Stands
abcat0515032,Mouse & Wrist Pads
abcat0515039,Computer Speakers
abcat0515040,Computer Headsets
abcat0515041,Computer Microphones
abcat0515042,Surge Protectors & Power
abcat0515043,Battery Backup (UPS)
abcat0515044,Surge Protectors
abcat0515046,Webcams
abcat0700000,Video Games
abcat0701012,Xbox One Digital
abcat0712000,PC Gaming
abcat0714014,Vehicles & Remote Control Toys
abcat0715000,Video Game Accessories
abcat0800000,Cell Phones
abcat0801002,Prepaid Phones & Plans
abcat0801003,Prepaid Phone Cards
abcat0802000,Telephones & Communication
abcat0802001,Cordless Telephones
abcat0802002,Corded Telephones
